['batas', 'larangan', 1]
['batas', 'informasi', 0]
['batasan', 'anjuran', 0]
['batasan', 'larangan', 1]
['batasan', 'informasi', 1]
['batu', 'anjuran', 2]
['batu', 'larangan', 0]
['batu', 'informasi', 2]
['bau', 'anjuran', 1]
['bau', 'larangan', 0]
['bau', 'informasi', 1]
['baunya', 'anjuran', 0]
['baunya', 'larangan', 1]
['baunya', 'informasi', 0]
['bawang', 'anjuran', 1]
['bawang', 'larangan', 2]
['bawang', 'informasi', 3]
['bayang-bayang', 'anjuran', 1]
['bayang-bayang', 'larangan', 0]
['bayang-bayang', 'informasi', 1]
['bayarlah', 'anjuran', 2]
['bayarlah', 'larangan', 0]
['bayarlah', 'informasi', 2]
['bebaskanlah', 'anjuran', 1]
['bebaskanlah', 'larangan', 0]
['bebaskanlah', 'informasi', 1]
['begitulah', 'anjuran', 1]
['begitulah', 'larangan', 0]
['begitulah', 'informasi', 1]
['bejana', 'anjuran', 2]
['bejana', 'larangan', 0]
['bejana', 'informasi', 2]
['bekas', 'anjuran', 1]
['bekas', 'larangan', 0]
['bekas', 'informasi', 1]
['belakangnya', 'anjuran', 2]
['belakangnya', 'larangan', 0]
['belakangnya', 'informasi', 2]
['benar-benar', 'anjuran', 3]
['benar-benar', 'larangan', 0]
['benar-benar', 'informasi', 3]
['benda', 'anjuran', 1]
['benda', 'larangan', 0]
['benda', 'informasi', 1]
['beramal', 'anjuran', 1]
['beramal', 'larangan', 0]
['beramal', 'informasi', 1]
['berambut', 'anjuran', 2]
['berambut', 'larangan', 0]
['berambut', 'informasi', 2]
['berangkat', 'anjuran', 3]
['berangkat', 'larangan', 0]
['berangkat', 'informasi', 3]
['berasal', 'anjuran', 3]
['berasal', 'larangan', 0]
['berasal', 'informasi', 3]
['berat', 'anjuran', 1]
['berat', 'larangan', 0]
['berat', 'informasi', 1]
['berbaiatlah', 'anjuran', 1]
['berbaiatlah', 'larangan', 1]
['berbaiatlah', 'informasi', 0]
['berbicara', 'anjuran', 1]
['berbicara', 'larangan', 0]
['berbicara', 'informasi', 1]
['berbicaralah', 'anjuran', 1]
['berbicaralah', 'larangan', 0]
['berbicaralah', 'informasi', 1]
['berbuat', 'anjuran', 3]
['berbuat', 'larangan', 2]
['berbuat', 'informasi', 4]
['bercerita', 'anjuran', 1]
['bercerita', 'larangan', 1]
['bercerita', 'informasi', 1]
['berdasarkan', 'anjuran', 1]
['berdasarkan', 'larangan', 0]
['berdasarkan', 'informasi', 1]
['berdebat', 'anjuran', 1]
['berdebat', 'larangan', 0]
['berdebat', 'informasi', 1]
['berdesakan', 'anjuran', 2]
['berdesakan', 'larangan', 1]
['berdesakan', 'informasi', 2]
['berdiam', 'anjuran', 2]
['berdiam', 'larangan', 0]
['berdiam', 'informasi', 2]
['berdiri', 'anjuran', 13]
['berdiri', 'larangan', 9]
['berdiri', 'informasi', 18]
['berdirilah', 'anjuran', 6]
['berdirilah', 'larangan', 0]
['berdirilah', 'informasi', 6]
['berdoa', 'anjuran', 4]
['berdoa', 'larangan', 1]
['berdoa', 'informasi', 5]
['berdoalah', 'anjuran', 1]
['berdoalah', 'larangan', 0]
['berdoalah', 'informasi', 1]
['berdosa', 'anjuran', 2]
['berdosa', 'larangan', 0]
['berdosa', 'informasi', 2]
['berdusta', 'anjuran', 0]
['berdusta', 'larangan', 1]
['berdusta', 'informasi', 1]
['berfirman', 'anjuran', 1]
['berfirman', 'larangan', 1]
['berfirman', 'informasi', 2]
['bergabung', 'anjuran', 1]
['bergabung', 'larangan', 0]
['bergabung', 'informasi', 1]
['bergabunglah', 'anjuran', 1]
['bergabunglah', 'larangan', 0]
['bergabunglah', 'informasi', 1]
['bergembira', 'anjuran', 1]
['bergembira', 'larangan', 0]
['bergembira', 'informasi', 1]
['berhadapan', 'anjuran', 4]
['berhadapan', 'larangan', 5]
['berhadapan', 'informasi', 5]
['berhaji', 'anjuran', 1]
['berhaji', 'larangan', 0]
['berhaji', 'informasi', 1]
['berhak', 'anjuran', 3]
['berhak', 'larangan', 3]
['berhak', 'informasi', 4]
['berharap', 'anjuran', 1]
['berharap', 'larangan', 0]
['berharap', 'informasi', 1]
['berhati-hati', 'anjuran', 1]
['berhati-hati', 'larangan', 0]
['berhati-hati', 'informasi', 1]
['berihram', 'anjuran', 1]
['berihram', 'larangan', 1]
['berihram', 'informasi', 1]
['berikanlah', 'anjuran', 1]
['berikanlah', 'larangan', 0]
['berikanlah', 'informasi', 1]
['berilah', 'anjuran', 2]
['berilah', 'larangan', 1]
['berilah', 'informasi', 1]
['beriman', 'anjuran', 5]
['beriman', 'larangan', 4]
['beriman', 'informasi', 7]
['berisi', 'anjuran', 2]
['berisi', 'larangan', 0]
['berisi', 'informasi', 2]
['beristighfar', 'anjuran', 1]
['beristighfar', 'larangan', 0]
['beristighfar', 'informasi', 1]
['beristinja', 'anjuran', 2]
['beristinja', 'larangan', 1]
['beristinja', 'informasi', 2]
['berita', 'anjuran', 1]
['berita', 'larangan', 0]
['berita', 'informasi', 1]
['beritahukan', 'anjuran', 2]
['beritahukan', 'larangan', 1]
['beritahukan', 'informasi', 2]
